PSNR,SSIM
27.951554181218533,0.9044145
32.144687245194,0.94913775
29.896113683558227,0.900197
29.655591344831823,0.9045015
30.585894522228145,0.8754359
29.817719990556352,0.8818478
31.751153319312856,0.9497885
24.313430601384965,0.762366
29.471872132053164,0.9544582
25.67263646347041,0.76998943
32.71458639597811,0.9687438
